Reactant Fraction for CH4 C1 Inlet1 PFR (C1)_(mole_fraction),Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction CH4 end point,Mole fraction NO2 end point,Mole fraction N2O end point
0,550,0.0003,0.000199998,0,0,0
0,575,0.0003,0.000199997,0,0,0
0,600,0.000299999,0.000199997,0,0,0
0,625,0.000299998,0.000199994,0,0,0
0,650,0.000299995,0.00019999,0,0,0
0,675,0.000299987,0.000199978,0,0,0
0,700,0.00029997,0.000199954,0,1.66E-08,0
0,725,0.000299931,0.000199898,0,3.35E-08,0
0,750,0.000299833,0.000199764,0,7.17E-08,0
0,775,0.000299555,0.000199397,0,1.70E-07,0
0,800,0.000298392,0.000197925,0,5.38E-07,0
0,825,0.000282122,0.000179449,0,4.40E-06,1.14E-07
0,850,0.000217785,0.000124588,0,9.11E-06,1.63E-06
0,875,0.000142076,7.55E-05,0,7.64E-06,4.37E-06
0,900,6.94E-05,4.01E-05,0,4.56E-06,6.67E-06
0,925,1.57E-05,2.69E-05,0,2.45E-06,6.40E-06
0,950,7.94E-07,3.24E-05,0,1.45E-06,4.94E-06
0,975,1.35E-08,4.33E-05,0,7.93E-07,3.60E-06
0,1000,7.07E-11,5.68E-05,0,6.65E-07,2.40E-06
0,1025,-1.26E-11,7.35E-05,0,6.67E-07,1.42E-06
0,1050,-3.17E-12,9.35E-05,0,6.72E-07,6.96E-07
0,1075,3.24E-13,0.00011622,0,6.66E-07,2.68E-07
0,1100,-1.14E-15,0.000140823,0,6.66E-07,8.44E-08
0,1125,2.51E-17,0.000166305,0,6.78E-07,3.52E-08
0,1150,-1.02E-15,0.000191754,0,6.94E-07,2.93E-08
0,1175,7.51E-18,0.000216446,0,7.08E-07,3.09E-08
0,1200,2.03E-17,0.000239877,0,7.16E-07,3.38E-08
0,1225,1.84E-17,0.000261738,0,7.18E-07,3.73E-08
0,1250,-3.92E-13,0.000281882,0,7.14E-07,4.12E-08
0.0003,550,0.0003,0.000199997,0.0003,0,0
0.0003,575,0.000299999,0.000199997,0.0003,0,0
0.0003,600,0.000299998,0.000199995,0.000299999,0,0
0.0003,625,0.000299995,0.00019999,0.000299997,0,0
0.0003,650,0.000299984,0.000199973,0.000299989,0,0
0.0003,675,0.000299941,0.000199911,0.00029996,2.72E-08,0
0.0003,700,0.000299506,0.000199332,0.000299656,1.62E-07,0
0.0003,725,0.000239561,0.000133419,0.00025674,1.16E-05,1.22E-06
0.0003,750,0.000142518,6.34E-05,0.000177061,1.08E-05,6.66E-06
0.0003,775,7.48E-05,2.85E-05,0.000105279,6.05E-06,1.11E-05
0.0003,800,3.37E-05,1.71E-05,4.96E-05,4.21E-06,1.26E-05
0.0003,825,4.54E-06,1.74E-05,6.43E-06,3.74E-06,1.24E-05
0.0003,850,2.95E-10,2.95E-05,5.28E-10,1.95E-06,1.01E-05
0.0003,875,3.78E-12,4.05E-05,4.10E-13,1.82E-06,8.62E-06
0.0003,900,-5.61E-11,5.32E-05,2.44E-15,1.67E-06,7.39E-06
0.0003,925,1.50E-12,6.78E-05,4.99E-17,1.57E-06,6.18E-06
0.0003,950,1.29E-12,8.45E-05,-1.17E-16,1.48E-06,4.91E-06
0.0003,975,9.08E-13,0.000103121,-1.64E-18,1.40E-06,3.59E-06
0.0003,1000,6.52E-13,0.000123661,-8.84E-19,1.32E-06,2.32E-06
0.0003,1025,7.22E-13,0.000145892,4.09E-15,1.21E-06,1.26E-06
0.0003,1050,2.76E-13,0.000169498,1.68E-20,1.11E-06,5.42E-07
0.0003,1075,1.55E-13,0.000194014,3.46E-20,1.01E-06,1.79E-07
0.0003,1100,7.51E-14,0.00021884,-7.54E-23,9.60E-07,5.50E-08
0.0003,1125,3.13E-14,0.0002433,-1.83E-15,9.34E-07,2.98E-08
0.0003,1150,8.48E-15,0.00026672,9.39E-21,9.20E-07,2.84E-08
0.0003,1175,1.74E-15,0.000288535,-9.85E-20,9.07E-07,3.08E-08
0.0003,1200,2.25E-16,0.000308382,1.12E-20,8.90E-07,3.41E-08
0.0003,1225,7.33E-17,0.000326133,-8.25E-20,8.69E-07,3.79E-08
0.0003,1250,9.66E-17,0.000341855,-1.03E-19,8.44E-07,4.20E-08
0.0006,550,0.0003,0.000199997,0.0006,0,0
0.0006,575,0.000299999,0.000199996,0.000599999,0,0
0.0006,600,0.000299997,0.000199994,0.000599997,0,0
0.0006,625,0.000299991,0.000199984,0.000599989,0,0
0.0006,650,0.000299962,0.000199939,0.000599952,1.98E-08,0
0.0006,675,0.000299631,0.000199483,0.000599515,1.27E-07,0
0.0006,700,0.000238529,0.000129743,0.000515827,1.53E-05,1.56E-06
0.0006,725,0.000108917,5.19E-05,0.000298177,1.34E-05,1.09E-05
0.0006,750,4.06E-05,2.89E-05,0.000132158,1.02E-05,1.59E-05
0.0006,775,7.40E-06,2.45E-05,2.63E-05,8.97E-06,1.69E-05
0.0006,800,8.54E-09,3.60E-05,3.93E-08,3.73E-06,1.43E-05
0.0006,825,1.04E-11,4.65E-05,1.33E-11,3.27E-06,1.19E-05
0.0006,850,4.54E-12,5.83E-05,2.75E-13,2.77E-06,1.03E-05
0.0006,875,3.28E-12,7.17E-05,3.28E-15,2.43E-06,8.92E-06
0.0006,900,2.62E-12,8.69E-05,6.06E-18,2.19E-06,7.61E-06
0.0006,925,2.08E-12,0.000103813,3.55E-18,1.99E-06,6.25E-06
0.0006,950,1.60E-12,0.000122536,-5.41E-20,1.82E-06,4.82E-06
0.0006,975,1.16E-12,0.000142933,3.41E-19,1.66E-06,3.37E-06
0.0006,1000,7.86E-13,0.000164847,1.01E-18,1.50E-06,2.04E-06
0.0006,1025,4.87E-13,0.000188004,-3.08E-20,1.35E-06,1.02E-06
0.0006,1050,2.70E-13,0.000212027,-9.45E-22,1.21E-06,3.92E-07
0.0006,1075,1.29E-13,0.000236402,1.67E-19,1.11E-06,1.18E-07
0.0006,1100,5.04E-14,0.000260536,-1.48E-19,1.06E-06,3.89E-08
0.0006,1125,1.49E-14,0.000283795,-1.14E-18,1.04E-06,2.70E-08
0.0006,1150,3.04E-15,0.000305576,-6.19E-20,1.02E-06,2.82E-08
0.0006,1175,4.13E-16,0.000325407,6.39E-21,9.92E-07,3.12E-08
0.0006,1200,1.10E-16,0.000343045,7.03E-24,9.64E-07,3.48E-08
0.0006,1225,1.33E-16,0.000358482,1.31E-24,9.32E-07,3.87E-08
0.0006,1250,1.01E-16,0.000371894,-2.26E-18,8.97E-07,4.29E-08
0.0009,550,0.0003,0.000199997,0.0009,0,0
0.0009,575,0.000299999,0.000199996,0.000899998,0,0
0.0009,600,0.000299997,0.000199992,0.000899994,0,0
0.0009,625,0.000299987,0.000199976,0.000899977,0,0
0.0009,650,0.000299926,0.000199882,0.000899862,3.64E-08,0
0.0009,675,0.000298439,0.000197991,0.000896939,3.64E-07,0
0.0009,700,0.000171593,8.57E-05,0.000623114,2.00E-05,6.55E-06
0.0009,725,5.28E-05,4.21E-05,0.000256339,1.57E-05,1.64E-05
0.0009,750,7.66E-06,3.41E-05,4.59E-05,1.37E-05,1.88E-05
0.0009,775,1.68E-08,4.61E-05,1.40E-07,5.68E-06,1.61E-05
0.0009,800,1.59E-11,5.66E-05,3.57E-11,4.68E-06,1.34E-05
0.0009,825,6.47E-12,6.82E-05,3.89E-12,3.80E-06,1.16E-05
0.0009,850,4.84E-12,8.14E-05,5.30E-13,3.20E-06,1.01E-05
0.0009,875,2.01E-12,9.62E-05,2.30E-14,2.79E-06,8.76E-06
0.0009,900,3.29E-12,0.000112635,-1.33E-17,2.48E-06,7.41E-06
0.0009,925,2.62E-12,0.000130739,1.96E-19,2.22E-06,5.98E-06
0.0009,950,1.97E-12,0.000150424,2.39E-17,1.98E-06,4.48E-06
0.0009,975,1.37E-12,0.000171552,-1.45E-18,1.77E-06,3.00E-06
0.0009,1000,8.77E-13,0.000193907,-3.29E-19,1.57E-06,1.71E-06
0.0009,1025,5.02E-13,0.000217171,-4.06E-19,1.39E-06,7.87E-07
0.0009,1050,2.51E-13,0.000240926,-7.40E-18,1.25E-06,2.77E-07
0.0009,1075,1.04E-13,0.00026464,1.42E-16,1.17E-06,7.88E-08
0.0009,1100,3.37E-14,0.000287742,9.34E-20,1.12E-06,3.11E-08
0.0009,1125,7.78E-15,0.000309654,-7.29E-22,1.09E-06,2.63E-08
0.0009,1150,1.20E-15,0.000329858,-2.16E-20,1.06E-06,2.85E-08
0.0009,1175,1.91E-16,0.000347997,3.03E-21,1.03E-06,3.18E-08
0.0009,1200,1.53E-16,0.000363932,2.14E-21,9.97E-07,3.55E-08
0.0009,1225,2.32E-16,0.000377747,-1.14E-20,9.58E-07,3.95E-08
0.0009,1250,7.00E-16,0.000389679,-6.87E-20,9.18E-07,4.38E-08
0.0012,550,0.0003,0.000199997,0.001199999,0,0
0.0012,575,0.000299999,0.000199996,0.001199997,0,0
0.0012,600,0.000299996,0.000199991,0.001199991,0,0
0.0012,625,0.000299983,0.000199968,0.001199959,1.22E-08,0
0.0012,650,0.000299877,0.000199802,0.001199693,5.79E-08,0
0.0012,675,0.000296905,0.000196141,0.001191956,5.99E-07,0
0.0012,700,0.000135077,7.44E-05,0.000702961,2.10E-05,9.86E-06
0.0012,725,2.60E-05,4.52E-05,0.000189565,1.90E-05,1.87E-05
0.0012,750,5.54E-07,5.01E-05,5.49E-06,1.01E-05,1.83E-05
0.0012,775,6.50E-11,6.23E-05,7.54E-10,6.37E-06,1.50E-05
0.0012,800,9.93E-12,7.35E-05,1.21E-11,5.05E-06,1.28E-05
0.0012,825,6.78E-12,8.62E-05,8.34E-12,4.10E-06,1.12E-05
0.0012,850,5.69E-12,0.000100279,6.10E-13,3.46E-06,9.77E-06
0.0012,875,4.90E-12,0.000115968,1.85E-15,3.00E-06,8.43E-06
0.0012,900,4.02E-12,0.00013323,5.39E-19,2.63E-06,7.05E-06
0.0012,925,3.14E-12,0.000152014,2.33E-18,2.32E-06,5.59E-06
0.0012,950,2.29E-12,0.000172206,2.46E-17,2.04E-06,4.06E-06
0.0012,975,1.53E-12,0.000193628,-7.24E-19,1.79E-06,2.60E-06
0.0012,1000,9.25E-13,0.000216025,3.80E-21,1.58E-06,1.40E-06
0.0012,1025,4.92E-13,0.000239049,-1.70E-18,1.40E-06,5.94E-07
0.0012,1050,2.22E-13,0.000262253,-5.59E-21,1.27E-06,1.92E-07
0.0012,1075,8.05E-14,0.000285123,-8.82E-19,1.20E-06,5.48E-08
0.0012,1100,2.17E-14,0.000307119,-3.10E-19,1.15E-06,2.73E-08
0.0012,1125,4.01E-15,0.000327724,-6.60E-19,1.12E-06,2.63E-08
0.0012,1150,5.26E-16,0.000346516,-1.19E-20,1.09E-06,2.91E-08
0.0012,1175,1.75E-16,0.000363237,-1.28E-19,1.05E-06,3.26E-08
0.0012,1200,2.36E-16,0.000377839,-2.83E-23,1.01E-06,3.63E-08
0.0012,1225,3.65E-16,0.000390462,-5.53E-20,9.67E-07,4.04E-08
0.0012,1250,5.56E-16,0.000401366,-9.06E-22,9.24E-07,4.47E-08
