Temperature C1 PFR PFR (C1)_(C),Reactant Fraction for O2 C1 Inlet1 PFR (C1)_(mole_fraction),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction O2 end point,Mole fraction NO2 end point,Mole fraction N2O end point
550,0,0.0003,0.0002,0,0,0
575,0,0.0003,0.0002,0,0,0
600,0,0.0003,0.0002,0,0,0
625,0,0.0003,0.0002,0,0,0
650,0,0.0003,0.0002,0,0,0
675,0,0.0003,0.0002,0,0,0
700,0,0.0003,0.0002,0,0,0
725,0,0.0003,0.0002,0,0,0
750,0,0.0003,0.0002,0,0,0
775,0,0.0003,0.0002,0,0,0
800,0,0.0003,0.0002,0,0,0
825,0,0.0003,0.0002,0,0,0
850,0,0.0003,0.0002,0,0,0
875,0,0.000299999,0.000199999,0,0,0
900,0,0.000299998,0.000199998,0,0,0
925,0,0.000299994,0.000199994,0,0,0
950,0,0.000299986,0.000199986,0,0,0
975,0,0.000299966,0.000199966,0,0,0
1000,0,0.000299919,0.000199918,0,0,0
1025,0,0.000299802,0.000199802,0,0,0
1050,0,0.000299506,0.000199505,0,0,0
1075,0,0.000298684,0.000198684,0,0,0
1100,0,0.000295914,0.000195916,0,0,0
1125,0,0.00027756,0.000177589,0,0,0
1150,0,6.32E-05,2.59E-07,3.25E-08,0,5.05E-08
1175,0,1.87E-05,5.05E-07,2.16E-07,0,4.75E-08
1200,0,8.12E-06,8.93E-07,6.09E-07,0,2.70E-08
1225,0,3.11E-06,1.63E-06,1.32E-06,0,1.44E-08
1250,0,9.65E-07,3.08E-06,2.38E-06,0,7.08E-09
550,0.1,0.0003,0.000199996,0.1,0,0
575,0.1,0.000299999,0.000199996,0.1,0,0
600,0.1,0.000299999,0.000199994,0.1,0,0
625,0.1,0.000299996,0.000199991,0.1,0,0
650,0.1,0.000299991,0.000199983,0.09999999,0,0
675,0.1,0.000299979,0.000199964,0.09999999,1.48E-08,0
700,0.1,0.000299951,0.000199923,0.09999997,2.82E-08,0
725,0.1,0.000299884,0.000199829,0.09999994,5.76E-08,0
750,0.1,0.000299716,0.000199598,0.09999986,1.27E-07,0
775,0.1,0.000299203,0.000198923,0.09999962,3.19E-07,0
800,0.1,0.00029644,0.000195468,0.09999832,1.25E-06,0
825,0.1,0.000262028,0.000160385,0.09998231,8.26E-06,4.94E-07
850,0.1,0.000184455,0.000106315,0.09994556,1.10E-05,3.11E-06
875,0.1,0.000105181,6.75E-05,0.09990419,8.85E-06,6.47E-06
900,0.1,4.23E-05,4.82E-05,0.09986665,6.44E-06,8.33E-06
925,0.1,8.90E-06,4.70E-05,0.09984333,4.70E-06,7.71E-06
950,0.1,7.56E-07,5.63E-05,0.09983476,2.97E-06,5.97E-06
975,0.1,3.01E-08,6.90E-05,0.09982988,1.57E-06,4.18E-06
1000,0.1,6.50E-10,8.36E-05,0.09982366,1.03E-06,2.63E-06
1025,0.1,1.60E-11,0.000100642,0.09981566,9.25E-07,1.44E-06
1050,0.1,-3.41E-12,0.000120547,0.099806,9.12E-07,6.54E-07
1075,0.1,6.01E-14,0.000143028,0.09979487,9.15E-07,2.37E-07
1100,0.1,1.84E-15,0.000167477,0.09978259,9.33E-07,7.51E-08
1125,0.1,3.47E-15,0.000193095,0.09976965,9.63E-07,3.57E-08
1150,0.1,6.17E-16,0.000219012,0.09975654,9.92E-07,3.29E-08
1175,0.1,2.91E-17,0.000244422,0.09974368,1.01E-06,3.60E-08
1200,0.1,1.13E-17,0.000268669,0.09973141,1.03E-06,4.01E-08
1225,0.1,-2.05E-16,0.000291302,0.09971997,1.03E-06,4.46E-08
1250,0.1,1.64E-17,0.000312074,0.09970948,1.02E-06,4.95E-08
550,0.2,0.0003,0.000199992,0.2,0,0
575,0.2,0.000299999,0.000199991,0.2,0,0
600,0.2,0.000299997,0.000199988,0.2,0,0
625,0.2,0.000299993,0.000199981,0.2,1.13E-08,0
650,0.2,0.000299982,0.000199965,0.2,1.72E-08,0
675,0.2,0.000299957,0.000199927,0.2,3.03E-08,0
700,0.2,0.000299897,0.00019984,0.1999999,5.93E-08,0
725,0.2,0.000299748,0.000199631,0.1999999,1.27E-07,0
750,0.2,0.000299321,0.000199054,0.1999996,3.11E-07,0
775,0.2,0.00029747,0.000196684,0.1999987,1.04E-06,0
800,0.2,0.000274314,0.000171796,0.1999866,7.61E-06,2.75E-07
825,0.2,0.000188924,0.000114655,0.1999397,1.42E-05,3.32E-06
850,0.2,0.000101545,8.15E-05,0.1998856,1.32E-05,7.64E-06
875,0.2,4.25E-05,7.17E-05,0.1998434,1.20E-05,1.01E-05
900,0.2,1.31E-05,7.61E-05,0.1998187,1.08E-05,1.01E-05
925,0.2,2.76E-06,8.76E-05,0.1998071,8.76E-06,8.62E-06
950,0.2,3.76E-07,0.00010229,0.1998012,5.97E-06,6.61E-06
975,0.2,2.91E-08,0.000118592,0.1997958,3.42E-06,4.57E-06
1000,0.2,1.11E-09,0.000135791,0.199789,2.06E-06,2.79E-06
1025,0.2,2.65E-11,0.000154245,0.1997806,1.69E-06,1.45E-06
1050,0.2,-1.78E-13,0.000174554,0.1997707,1.65E-06,6.16E-07
1075,0.2,3.33E-13,0.000196697,0.1997597,1.66E-06,2.10E-07
1100,0.2,-4.82E-14,0.000220241,0.1997478,1.68E-06,6.81E-08
1125,0.2,-5.61E-15,0.000244557,0.1997354,1.70E-06,3.85E-08
1150,0.2,2.05E-15,0.000268958,0.199723,1.71E-06,3.85E-08
1175,0.2,2.39E-15,0.000292774,0.1997108,1.71E-06,4.29E-08
1200,0.2,2.04E-16,0.000315416,0.1996991,1.70E-06,4.79E-08
1225,0.2,4.94E-18,0.000336451,0.1996882,1.68E-06,5.33E-08
1250,0.2,5.18E-15,0.00035562,0.1996782,1.64E-06,5.90E-08
550,0.3,0.000299999,0.000199988,0.3,1.17E-08,0
575,0.3,0.000299998,0.000199986,0.3,1.19E-08,0
600,0.3,0.000299996,0.000199982,0.3,1.33E-08,0
625,0.3,0.000299989,0.000199972,0.3,1.71E-08,0
650,0.3,0.000299972,0.000199946,0.3,2.61E-08,0
675,0.3,0.000299933,0.000199888,0.3,4.67E-08,0
700,0.3,0.000299835,0.000199748,0.2999999,9.44E-08,0
725,0.3,0.000299573,0.000199384,0.2999998,2.16E-07,0
750,0.3,0.000298661,0.000198181,0.2999993,6.11E-07,0
775,0.3,0.000291166,0.000189165,0.2999952,3.45E-06,3.90E-08
800,0.3,0.000221002,0.000133612,0.2999546,1.49E-05,2.05E-06
825,0.3,0.000120085,9.32E-05,0.2998888,1.61E-05,7.16E-06
850,0.3,5.25E-05,8.30E-05,0.2998373,1.57E-05,1.06E-05
875,0.3,1.87E-05,8.84E-05,0.2998066,1.55E-05,1.14E-05
900,0.3,5.41E-06,0.000100712,0.2997906,1.44E-05,1.05E-05
925,0.3,1.27E-06,0.000116425,0.299782,1.20E-05,8.75E-06
950,0.3,2.23E-07,0.000134447,0.2997759,8.47E-06,6.67E-06
975,0.3,2.14E-08,0.0001537,0.2997697,5.06E-06,4.59E-06
1000,0.3,7.79E-10,0.000173083,0.2997622,3.07E-06,2.78E-06
1025,0.3,2.01E-11,0.000192694,0.2997533,2.48E-06,1.42E-06
1050,0.3,1.49E-12,0.000213297,0.2997432,2.41E-06,5.90E-07
1075,0.3,4.64E-14,0.000235058,0.2997323,2.41E-06,1.96E-07
1100,0.3,1.16E-14,0.000257624,0.2997209,2.40E-06,6.39E-08
1125,0.3,1.42E-15,0.000280468,0.2997092,2.39E-06,3.82E-08
1150,0.3,4.39E-15,0.000303029,0.2996977,2.36E-06,3.93E-08
1175,0.3,-2.12E-13,0.000324778,0.2996864,2.33E-06,4.37E-08
1200,0.3,-5.56E-18,0.000345264,0.2996757,2.28E-06,4.88E-08
1225,0.3,-1.04E-15,0.00036415,0.2996656,2.23E-06,5.42E-08
1250,0.3,1.96E-17,0.000381254,0.2996563,2.16E-06,5.98E-08
550,0.4,0.000299999,0.000199984,0.4,1.56E-08,0
575,0.4,0.000299998,0.000199982,0.4,1.58E-08,0
600,0.4,0.000299994,0.000199976,0.4,1.77E-08,0
625,0.4,0.000299985,0.000199962,0.4,2.29E-08,0
650,0.4,0.000299962,0.000199927,0.4,3.53E-08,0
675,0.4,0.000299906,0.000199845,0.3999999,6.42E-08,0
700,0.4,0.000299763,0.000199642,0.3999999,1.34E-07,0
725,0.4,0.000299338,0.000199063,0.3999996,3.32E-07,0
750,0.4,0.000297393,0.000196565,0.3999986,1.17E-06,0
775,0.4,0.000268814,0.000167129,0.3999819,9.89E-06,4.25E-07
800,0.4,0.000161755,0.000108759,0.3999124,1.78E-05,5.09E-06
825,0.4,7.42E-05,8.97E-05,0.3998459,1.79E-05,1.00E-05
850,0.4,2.86E-05,9.26E-05,0.3998046,1.85E-05,1.20E-05
875,0.4,9.46E-06,0.000104348,0.3997823,1.87E-05,1.19E-05
900,0.4,2.79E-06,0.000119917,0.3997701,1.77E-05,1.05E-05
925,0.4,7.42E-07,0.000138213,0.399762,1.49E-05,8.68E-06
950,0.4,1.48E-07,0.000158797,0.3997551,1.07E-05,6.58E-06
975,0.4,1.60E-08,0.000180422,0.3997481,6.55E-06,4.52E-06
1000,0.4,6.20E-10,0.000201551,0.3997399,4.03E-06,2.72E-06
1025,0.4,8.90E-12,0.00022203,0.3997306,3.26E-06,1.38E-06
1050,0.4,-1.18E-13,0.000242773,0.3997204,3.15E-06,5.68E-07
1075,0.4,9.59E-13,0.000264082,0.3997097,3.12E-06,1.85E-07
1100,0.4,4.01E-14,0.00028568,0.3996988,3.08E-06,5.94E-08
1125,0.4,-8.36E-15,0.000307133,0.3996878,3.02E-06,3.57E-08
1150,0.4,1.86E-14,0.000327999,0.399677,2.96E-06,3.67E-08
1175,0.4,1.70E-15,0.000347868,0.3996666,2.88E-06,4.08E-08
1200,0.4,-9.89E-15,0.000366409,0.3996567,2.80E-06,4.54E-08
1225,0.4,1.88E-18,0.00038338,0.3996475,2.71E-06,5.04E-08
1250,0.4,3.05E-18,0.000398668,0.3996388,2.61E-06,5.55E-08
550,0.5,0.000299999,0.00019998,0.5,1.95E-08,0
575,0.5,0.000299997,0.000199977,0.5,1.98E-08,0
600,0.5,0.000299992,0.00019997,0.5,2.22E-08,0
625,0.5,0.00029998,0.000199952,0.5,2.87E-08,0
650,0.5,0.000299951,0.000199908,0.5,4.47E-08,0
675,0.5,0.000299877,0.0001998,0.4999999,8.28E-08,0
700,0.5,0.000299678,0.00019952,0.4999998,1.81E-07,0
725,0.5,0.000299012,0.000198628,0.4999995,4.90E-07,0
750,0.5,0.000294394,0.000192918,0.4999968,2.44E-06,1.70E-08
775,0.5,0.000228783,0.000139352,0.4999555,1.61E-05,1.83E-06
800,0.5,0.000114329,9.82E-05,0.4998721,1.92E-05,7.97E-06
825,0.5,4.68E-05,9.36E-05,0.4998136,2.01E-05,1.17E-05
850,0.5,1.67E-05,0.000103152,0.4997814,2.12E-05,1.27E-05
875,0.5,5.40E-06,0.000117838,0.499764,2.17E-05,1.20E-05
900,0.5,1.70E-06,0.000135348,0.4997532,2.06E-05,1.04E-05
925,0.5,5.02E-07,0.000155605,0.4997448,1.75E-05,8.53E-06
950,0.5,1.09E-07,0.000178243,0.4997372,1.27E-05,6.44E-06
975,0.5,1.28E-08,0.000201772,0.4997294,7.94E-06,4.41E-06
1000,0.5,5.25E-10,0.000224272,0.4997207,4.95E-06,2.65E-06
1025,0.5,4.42E-12,0.000245379,0.499711,4.01E-06,1.34E-06
1050,0.5,1.05E-13,0.000266131,0.4997008,3.85E-06,5.47E-07
1075,0.5,2.24E-13,0.000286955,0.4996904,3.79E-06,1.75E-07
1100,0.5,-1.30E-13,0.000307636,0.4996798,3.70E-06,5.37E-08
1125,0.5,-4.97E-16,0.000327826,0.4996694,3.61E-06,3.11E-08
1150,0.5,9.23E-15,0.000347186,0.4996594,3.50E-06,3.16E-08
1175,0.5,1.54E-16,0.000365415,0.4996497,3.39E-06,3.51E-08
1200,0.5,8.36E-19,0.00038228,0.4996406,3.27E-06,3.91E-08
1225,0.5,5.25E-18,0.00039762,0.4996319,3.14E-06,4.32E-08
1250,0.5,1.83E-18,0.000411371,0.4996238,3.01E-06,4.76E-08
