Axial Velocity C1 Inlet1 PFR (C1)_(cm/sec),Temperature C1 PFR PFR (C1)_(C),Plug flow residence time end point_(sec),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
25,550,1.8,0.0003,0.000199993,0,0
25,575,1.8,0.000299999,0.000199992,0,0
25,600,1.8,0.000299997,0.000199989,0,0
25,625,1.8,0.000299993,0.000199983,1.02E-08,0
25,650,1.8,0.000299984,0.000199968,1.53E-08,0
25,675,1.799999,0.000299961,0.000199935,2.65E-08,0
25,700,1.799999,0.000299909,0.000199859,5.04E-08,0
25,725,1.799997,0.000299786,0.000199687,1.02E-07,0
25,750,1.799994,0.000299475,0.000199266,2.20E-07,0
25,775,1.799986,0.000298556,0.000198072,5.33E-07,0
25,800,1.799947,0.000293936,0.000192443,1.86E-06,1.53E-08
25,825,1.799371,0.000217522,0.000125036,8.61E-06,1.56E-06
25,850,1.798045,9.00E-05,4.53E-05,5.26E-06,6.04E-06
25,875,1.796965,1.64E-05,1.76E-05,2.24E-06,7.23E-06
25,900,1.796291,2.68E-07,1.93E-05,1.08E-06,5.34E-06
25,925,1.795986,-2.90E-10,2.58E-05,5.01E-07,3.47E-06
25,950,1.795881,2.04E-12,3.36E-05,4.43E-07,1.93E-06
25,975,1.795881,6.60E-11,4.39E-05,4.40E-07,8.60E-07
25,1000,1.795942,2.15E-11,5.72E-05,4.36E-07,2.87E-07
25,1025,1.796041,6.43E-13,7.38E-05,4.46E-07,7.22E-08
25,1050,1.796163,-6.88E-12,9.37E-05,4.83E-07,2.21E-08
25,1075,1.796298,-1.59E-12,0.000116371,5.35E-07,1.76E-08
25,1100,1.79644,-6.30E-14,0.000140916,5.87E-07,2.05E-08
25,1125,1.796584,-9.16E-19,0.000166377,6.32E-07,2.30E-08
25,1150,1.796725,4.18E-18,0.00019181,6.68E-07,2.61E-08
25,1175,1.796862,9.80E-17,0.000216516,6.93E-07,2.94E-08
25,1200,1.796994,1.15E-15,0.000239978,7.08E-07,3.30E-08
25,1225,1.797121,1.74E-17,0.000261912,7.14E-07,3.68E-08
25,1250,1.797243,2.64E-17,0.000282177,7.13E-07,4.10E-08
50,550,0.9,0.0003,0.000199996,0,0
50,575,0.9,0.0003,0.000199996,0,0
50,600,0.9,0.000299999,0.000199995,0,0
50,625,0.9,0.000299997,0.000199992,0,0
50,650,0.8999999,0.000299992,0.000199984,0,0
50,675,0.8999999,0.000299981,0.000199968,1.32E-08,0
50,700,0.8999997,0.000299955,0.00019993,2.51E-08,0
50,725,0.8999993,0.000299895,0.000199845,5.07E-08,0
50,750,0.8999984,0.000299744,0.00019964,1.09E-07,0
50,775,0.8999966,0.000299313,0.000199074,2.60E-07,0
50,800,0.8999884,0.000297405,0.00019668,8.51E-07,0
50,825,0.8998815,0.000267895,0.000165461,6.51E-06,3.30E-07
50,850,0.8994787,0.000178959,9.81E-05,8.53E-06,2.91E-06
50,875,0.8990179,9.26E-05,4.82E-05,5.55E-06,6.10E-06
50,900,0.8985905,2.61E-05,2.42E-05,2.72E-06,7.02E-06
50,925,0.8982736,1.49E-06,2.47E-05,1.56E-06,5.46E-06
50,950,0.8981086,1.50E-08,3.31E-05,7.47E-07,3.88E-06
50,975,0.8980456,1.33E-10,4.36E-05,5.77E-07,2.49E-06
50,1000,0.8980394,3.58E-12,5.70E-05,5.71E-07,1.39E-06
50,1025,0.8980678,8.80E-11,7.37E-05,5.74E-07,6.36E-07
50,1050,0.8981153,2.00E-11,9.36E-05,5.72E-07,2.24E-07
50,1075,0.8981744,-2.81E-11,0.000116313,5.83E-07,6.46E-08
50,1100,0.8982405,-2.04E-12,0.000140878,6.11E-07,2.75E-08
50,1125,0.8983088,-6.98E-16,0.000166347,6.44E-07,2.43E-08
50,1150,0.898377,2.40E-13,0.000191779,6.73E-07,2.65E-08
50,1175,0.8984438,7.46E-15,0.000216467,6.95E-07,2.96E-08
50,1200,0.8985087,1.89E-16,0.00023991,7.08E-07,3.30E-08
50,1225,0.8985711,7.86E-16,0.000261786,7.14E-07,3.69E-08
50,1250,0.8986316,3.77E-17,0.000281956,7.12E-07,4.10E-08
75,550,0.6,0.0003,0.000199998,0,0
75,575,0.6,0.0003,0.000199997,0,0
75,600,0.6,0.000299999,0.000199997,0,0
75,625,0.6,0.000299998,0.000199994,0,0
75,650,0.6,0.000299995,0.00019999,0,0
75,675,0.5999999,0.000299987,0.000199978,0,0
75,700,0.5999999,0.00029997,0.000199954,1.67E-08,0
75,725,0.5999997,0.00029993,0.000199898,3.36E-08,0
75,750,0.5999993,0.000299832,0.000199763,7.18E-08,0
75,775,0.5999985,0.000299554,0.000199397,1.70E-07,0
75,800,0.5999952,0.000298392,0.000197924,5.38E-07,0
75,825,0.5999577,0.000282152,0.000179484,4.40E-06,1.14E-07
75,850,0.5997719,0.000217786,0.00012459,9.11E-06,1.63E-06
75,875,0.5995227,0.00014203,7.54E-05,7.64E-06,4.37E-06
75,900,0.5992603,6.93E-05,4.00E-05,4.56E-06,6.67E-06
75,925,0.5990189,1.56E-05,2.69E-05,2.44E-06,6.39E-06
75,950,0.5988483,7.93E-07,3.23E-05,1.45E-06,4.94E-06
75,975,0.5987648,1.33E-08,4.33E-05,7.92E-07,3.59E-06
75,1000,0.5987367,2.65E-10,5.68E-05,6.65E-07,2.40E-06
75,1025,0.598742,-4.87E-11,7.35E-05,6.67E-07,1.42E-06
75,1050,0.5987651,4.79E-11,9.35E-05,6.71E-07,6.96E-07
75,1075,0.5987993,9.83E-12,0.000116216,6.66E-07,2.67E-07
75,1100,0.5988401,5.51E-12,0.000140828,6.65E-07,8.42E-08
75,1125,0.5988834,-2.17E-13,0.000166313,6.78E-07,3.53E-08
75,1150,0.5989273,1.28E-13,0.000191749,6.94E-07,2.91E-08
75,1175,0.5989708,1.30E-16,0.000216448,7.07E-07,3.09E-08
75,1200,0.5990134,2.22E-17,0.000239878,7.16E-07,3.38E-08
75,1225,0.5990546,7.01E-15,0.000261737,7.18E-07,3.73E-08
75,1250,0.5990946,3.94E-17,0.000281881,7.14E-07,4.12E-08
100,550,0.45,0.0003,0.000199998,0,0
100,575,0.45,0.0003,0.000199998,0,0
100,600,0.45,0.000299999,0.000199997,0,0
100,625,0.45,0.000299998,0.000199996,0,0
100,650,0.45,0.000299996,0.000199992,0,0
100,675,0.45,0.00029999,0.000199984,0,0
100,700,0.4499999,0.000299978,0.000199965,1.25E-08,0
100,725,0.4499998,0.000299948,0.000199924,2.51E-08,0
100,750,0.4499996,0.000299875,0.000199824,5.34E-08,0
100,775,0.4499991,0.000299672,0.000199555,1.26E-07,0
100,800,0.4499975,0.000298855,0.000198516,3.87E-07,0
100,825,0.4499802,0.00028856,0.000186418,3.07E-06,4.95E-08
100,850,0.4498763,0.000238687,0.00014028,8.74E-06,1.02E-06
100,875,0.4497202,0.000173229,9.44E-05,8.73E-06,3.23E-06
100,900,0.4495441,0.000103738,5.62E-05,6.12E-06,5.74E-06
100,925,0.449367,4.00E-05,3.37E-05,3.36E-06,6.68E-06
100,950,0.4492148,5.33E-06,3.25E-05,2.09E-06,5.60E-06
100,975,0.4491236,2.09E-07,4.28E-05,1.19E-06,4.33E-06
100,1000,0.4490846,4.16E-09,5.66E-05,7.84E-07,3.17E-06
100,1025,0.4490783,-1.64E-10,7.34E-05,7.36E-07,2.13E-06
100,1050,0.4490894,1.04E-10,9.34E-05,7.47E-07,1.26E-06
100,1075,0.4491112,2.45E-12,0.000116095,7.46E-07,6.09E-07
100,1100,0.4491395,-2.62E-12,0.000140747,7.34E-07,2.30E-07
100,1125,0.4491704,-1.88E-12,0.000166255,7.26E-07,7.55E-08
100,1150,0.4492022,2.85E-12,0.000191714,7.27E-07,3.77E-08
100,1175,0.4492341,-9.51E-13,0.000216415,7.31E-07,3.38E-08
100,1200,0.4492656,2.56E-14,0.000239844,7.32E-07,3.58E-08
100,1225,0.4492962,1.36E-17,0.000261707,7.29E-07,3.85E-08
100,1250,0.449326,-1.92E-15,0.000281837,7.21E-07,4.21E-08
125,550,0.36,0.0003,0.000199999,0,0
125,575,0.36,0.0003,0.000199998,0,0
125,600,0.36,0.0003,0.000199998,0,0
125,625,0.36,0.000299999,0.000199997,0,0
125,650,0.36,0.000299997,0.000199994,0,0
125,675,0.36,0.000299992,0.000199987,0,0
125,700,0.36,0.000299982,0.000199972,0,0
125,725,0.3599999,0.000299959,0.000199939,2.00E-08,0
125,750,0.3599997,0.000299901,0.00019986,4.24E-08,0
125,775,0.3599994,0.000299742,0.000199649,9.92E-08,0
125,800,0.3599984,0.000299123,0.00019886,2.98E-07,0
125,825,0.3599892,0.000292068,0.000190408,2.22E-06,2.48E-08
125,850,0.3599245,0.000251631,0.000150807,8.07E-06,6.87E-07
125,875,0.3598174,0.000194369,0.000108104,9.23E-06,2.48E-06
125,900,0.3596909,0.000129705,6.99E-05,7.26E-06,4.86E-06
125,925,0.3595574,6.45E-05,4.26E-05,4.36E-06,6.48E-06
125,950,0.3594293,1.52E-05,3.43E-05,2.59E-06,6.02E-06
125,975,0.3593381,1.11E-06,4.24E-05,1.65E-06,4.85E-06
125,1000,0.3592929,4.28E-08,5.63E-05,9.72E-07,3.76E-06
125,1025,0.3592797,1.41E-09,7.32E-05,8.05E-07,2.74E-06
125,1050,0.3592836,-6.97E-11,9.33E-05,8.05E-07,1.80E-06
125,1075,0.359298,1.98E-12,0.00011599,8.12E-07,1.01E-06
125,1100,0.3593188,4.24E-11,0.000140661,7.99E-07,4.58E-07
125,1125,0.3593423,-2.72E-11,0.000166182,7.80E-07,1.64E-07
125,1150,0.3593669,7.14E-12,0.000191668,7.68E-07,6.00E-08
125,1175,0.3593919,2.53E-15,0.000216377,7.61E-07,3.86E-08
125,1200,0.3594168,1.05E-13,0.000239812,7.55E-07,3.85E-08
125,1225,0.359441,-8.87E-16,0.000261672,7.46E-07,4.05E-08
125,1250,0.3594647,-2.99E-13,0.000281801,7.34E-07,4.36E-08
150,550,0.3,0.0003,0.000199999,0,0
150,575,0.3,0.0003,0.000199999,0,0
150,600,0.3,0.0003,0.000199998,0,0
150,625,0.3,0.000299999,0.000199997,0,0
150,650,0.3,0.000299997,0.000199995,0,0
150,675,0.3,0.000299994,0.000199989,0,0
150,700,0.3,0.000299985,0.000199977,0,0
150,725,0.2999999,0.000299966,0.00019995,1.66E-08,0
150,750,0.2999998,0.000299918,0.000199885,3.51E-08,0
150,775,0.2999996,0.000299788,0.000199712,8.16E-08,0
150,800,0.299999,0.000299297,0.000199083,2.41E-07,0
150,825,0.2999935,0.000294199,0.000192904,1.67E-06,1.37E-08
150,850,0.2999504,0.000260449,0.000158457,7.34E-06,4.85E-07
150,875,0.2998723,0.000209578,0.000118475,9.39E-06,1.95E-06
150,900,0.2997768,0.000149673,8.12E-05,8.07E-06,4.15E-06
150,925,0.2996729,8.59E-05,5.16E-05,5.29E-06,6.07E-06
150,950,0.2995666,2.87E-05,3.76E-05,3.08E-06,6.24E-06
150,975,0.2994802,3.45E-06,4.24E-05,2.06E-06,5.24E-06
150,1000,0.2994315,1.88E-07,5.60E-05,1.23E-06,4.21E-06
150,1025,0.2994138,7.26E-09,7.31E-05,8.91E-07,3.24E-06
150,1050,0.2994129,5.26E-10,9.31E-05,8.54E-07,2.30E-06
150,1075,0.2994223,2.79E-11,0.000115895,8.65E-07,1.44E-06
150,1100,0.2994382,-1.30E-11,0.000140561,8.58E-07,7.40E-07
150,1125,0.2994567,1.06E-11,0.000166111,8.35E-07,3.02E-07
150,1150,0.2994766,-3.56E-12,0.0001916,8.12E-07,1.08E-07
150,1175,0.2994969,7.53E-14,0.000216341,7.95E-07,5.00E-08
150,1200,0.2995174,-3.79E-13,0.000239782,7.82E-07,4.22E-08
150,1225,0.2995195,6.93E-15,0.000261641,7.67E-07,4.31E-08
150,1250,0.2995571,2.77E-17,0.000281766,7.50E-07,4.57E-08
